                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6834,                 1.1311,                 1.1997,                0.88805,                0.87943,                0.91844,                0.52372,                 1.4665,                0.69688,                 1.1204,              0.0033271,              0.0033271,              0.0033271
                      2,                   1.47,                 0.7621,                 1.0916,                0.91034,                0.89632,                0.94659,                0.55051,                 1.4449,                0.67698,                 1.1188,               0.006634,               0.006634,               0.006634
                      3,                 1.5144,                0.77527,                  1.107,                0.91669,                0.91246,                0.94901,                 0.5461,                 1.4776,                 0.6967,                 1.1134,              0.0099146,              0.0099146,              0.0099146
                      4,                 1.5317,                0.78455,                 1.1168,                0.91546,                 0.9007,                0.94134,                0.53542,                 1.4953,                0.70318,                 1.1201,              0.0098812,              0.0098812,              0.0098812
                      5,                 1.5005,                0.74691,                 1.1128,                 0.9183,                 0.9203,                0.94106,                0.55995,                 1.4203,                0.64221,                 1.1126,              0.0098812,              0.0098812,              0.0098812
                      6,                 1.4696,                0.71545,                 1.1089,                0.94246,                0.94539,                0.96598,                0.59178,                 1.3641,                0.59778,                  1.086,              0.0098416,              0.0098416,              0.0098416
                      7,                 1.4155,                0.68899,                  1.085,                0.94031,                0.94416,                0.96727,                0.59568,                 1.3611,                 0.5832,                  1.087,               0.009802,               0.009802,               0.009802
                      8,                 1.4129,                 0.6645,                 1.0961,                 0.9457,                0.94833,                0.96682,                 0.6074,                 1.3172,                0.57409,                 1.0691,              0.0097624,              0.0097624,              0.0097624
                      9,                 1.3798,                0.64842,                 1.0818,                0.95269,                0.95199,                0.97114,                0.61695,                 1.3062,                0.56433,                 1.0661,              0.0097228,              0.0097228,              0.0097228
                     10,                 1.3583,                0.63547,                 1.0785,                0.94864,                0.95599,                 0.9713,                0.62068,                 1.2964,                0.54417,                 1.0662,              0.0096832,              0.0096832,              0.0096832
                     11,                 1.3438,                0.62349,                 1.0725,                0.95308,                0.95483,                0.97313,                0.61693,                 1.3013,                0.54153,                 1.0739,              0.0096436,              0.0096436,              0.0096436
                     12,                 1.3307,                0.61127,                 1.0696,                0.95758,                0.95874,                0.97177,                0.62667,                  1.281,                0.53993,                   1.06,               0.009604,               0.009604,               0.009604
                     13,                 1.3096,                0.59783,                 1.0604,                0.96088,                0.95808,                 0.9751,                0.63381,                 1.2532,                0.51764,                 1.0537,              0.0095644,              0.0095644,              0.0095644
                     14,                 1.3002,                0.59135,                 1.0571,                0.95694,                0.95487,                0.97499,                 0.6305,                 1.2637,                0.52665,                 1.0587,              0.0095248,              0.0095248,              0.0095248
                     15,                 1.2976,                 0.5904,                 1.0554,                0.96152,                0.95608,                0.97583,                0.64369,                 1.2442,                0.50673,                 1.0511,              0.0094852,              0.0094852,              0.0094852
                     16,                 1.2893,                0.58542,                 1.0519,                0.95409,                0.95887,                0.97671,                0.64486,                 1.2261,                 0.5058,                 1.0415,              0.0094456,              0.0094456,              0.0094456
                     17,                  1.274,                0.57276,                 1.0485,                0.95638,                0.96189,                0.98031,                0.65233,                 1.2227,                0.50399,                   1.04,               0.009406,               0.009406,               0.009406
                     18,                 1.2618,                0.56684,                 1.0458,                0.95648,                0.96145,                0.97875,                 0.6486,                 1.2107,                0.50857,                 1.0342,              0.0093664,              0.0093664,              0.0093664
                     19,                 1.2555,                0.56446,                 1.0406,                0.96328,                0.96226,                0.97894,                0.65846,                 1.2134,                0.48886,                 1.0349,              0.0093268,              0.0093268,              0.0093268
                     20,                 1.2519,                 0.5586,                  1.043,                0.95994,                0.96265,                0.98236,                0.66106,                 1.1932,                0.48832,                 1.0324,              0.0092872,              0.0092872,              0.0092872
                     21,                  1.235,                0.55114,                  1.032,                0.96242,                0.96641,                 0.9811,                0.66718,                 1.1755,                0.47562,                 1.0256,              0.0092476,              0.0092476,              0.0092476
                     22,                 1.2248,                0.54616,                 1.0331,                0.97027,                0.96566,                0.98298,                0.66781,                 1.1851,                0.47045,                 1.0299,               0.009208,               0.009208,               0.009208
                     23,                 1.2198,                0.54394,                 1.0294,                0.95632,                0.96239,                0.97882,                0.66278,                 1.1923,                0.48418,                 1.0319,              0.0091684,              0.0091684,              0.0091684
                     24,                 1.2169,                0.54394,                 1.0277,                0.96425,                0.96518,                0.98179,                0.66857,                 1.1679,                0.47422,                 1.0281,              0.0091288,              0.0091288,              0.0091288
                     25,                 1.2165,                0.54388,                 1.0309,                0.96213,                0.96543,                0.98309,                0.67413,                 1.1572,                0.46367,                 1.0224,              0.0090892,              0.0090892,              0.0090892
                     26,                 1.2116,                0.53971,                  1.027,                0.96222,                 0.9646,                0.98279,                0.67972,                 1.1539,                0.46608,                 1.0153,              0.0090496,              0.0090496,              0.0090496
