frame,x,y,trajectory,treatment,rep
14507,0.642501,0.836773,372,cnt,rep1
14507,0.70081,0.15855,375,cnt,rep1
10893,0.360041,0.834082,264,cnt,rep1
10893,0.929697,0.537853,270,cnt,rep1
10893,0.833472,0.186961,269,cnt,rep1
10893,0.481245,0.268285,268,cnt,rep1
10893,0.528513,0.166243,271,cnt,rep1
10893,0.81526,0.338328,272,cnt,rep1
4908,0.273261,0.29707,425,cnt,rep2
5358,0.81119,0.383177,129,cnt,rep1
9363,0.213816,0.0382709,157,cnt,rep2
8637,0.331947,0.721906,192,cnt,rep3
13556,0.376114,0.67562,356,cnt,rep1
12601,0.75537,0.0305685,322,cnt,rep1
12601,0.299599,0.22626,323,cnt,rep1
12601,0.290087,0.369403,308,cnt,rep1
13127,0.450551,0.30053,274,cnt,rep2
6520,0.791821,0.547339,150,cnt,rep1
6520,0.667159,0.93243,156,cnt,rep1
6520,0.818334,0.317446,144,cnt,rep1
8628,0.848403,0.86975,213,cnt,rep1
7910,0.649087,0.129633,195,cnt,rep1
7910,0.307676,0.290923,196,cnt,rep1
11426,0.457429,0.719547,478,cnt,rep2
1351,0.635836,0.647348,531,cnt,rep3
1351,0.471812,0.716382,53,cnt,rep3
3159,0.252905,0.347757,74,cnt,rep2
9609,0.320793,0.716887,192,cnt,rep3
2775,0.246673,0.305699,409,cnt,rep2
10754,0.230476,0.0361496,192,cnt,rep2
13620,0.759872,0.718072,357,cnt,rep1
13620,0.80825,0.909177,358,cnt,rep1
6558,0.328802,0.633427,163,cnt,rep3
2813,0.792455,0.335447,66,cnt,rep1
2813,0.85902,0.156156,65,cnt,rep1
2813,0.56836,0.108176,52,cnt,rep1
163,0.713733,0.777477,1,cnt,rep2
163,0.365214,0.652402,387,cnt,rep2
163,0.264286,0.344316,7,cnt,rep2
4085,0.787789,0.854412,101,cnt,rep2
4085,0.498025,0.229846,103,cnt,rep2
4085,0.343382,0.467196,424,cnt,rep2
9319,0.615507,0.812486,230,cnt,rep1
10838,0.36178,0.824353,264,cnt,rep1
10838,0.49502,0.325913,268,cnt,rep1
